ensayo,condicion,clase_esperada,mano_detectada,clase_predicha,confianza,comando_emitido
2,normal,1,1,1,89.76695537567139,-1
2,normal,1,1,1,90.74036478996277,-1
2,normal,1,1,1,90.07053971290588,-1
2,normal,1,1,1,90.45642614364624,-1
2,normal,1,1,1,90.74036478996277,-1
2,normal,1,1,1,90.47456383705139,-1
2,normal,1,1,1,91.97030663490295,-1
2,normal,1,1,1,91.28848314285278,-1
2,normal,1,1,1,90.76159000396729,-1
2,normal,1,1,1,90.9186840057373,-1
2,normal,1,1,1,90.54974317550659,-1
2,normal,1,1,1,90.9201443195343,-1
2,normal,1,1,1,91.40924215316772,-1
2,normal,1,1,1,90.68717360496521,-1
2,normal,1,1,1,91.53077602386475,-1
2,normal,1,1,1,89.85404968261719,-1
2,normal,1,1,1,91.67178273200989,-1
2,normal,1,1,1,91.05775356292725,-1
2,normal,1,1,1,91.0010039806366,-1
2,normal,1,1,1,91.28015637397766,-1
2,normal,1,1,1,91.3289487361908,-1
2,normal,1,1,1,92.42437481880188,-1
2,normal,1,1,1,92.67647862434387,-1
2,normal,1,1,1,92.94960498809814,-1
2,normal,1,1,1,91.8871819972992,-1
2,normal,1,1,1,92.66665577888489,-1
2,normal,1,1,1,91.23035073280334,-1
2,normal,1,1,1,93.18498373031616,-1
2,normal,1,1,1,93.44077110290527,-1
2,normal,1,1,1,93.89007687568665,-1
2,normal,1,1,1,93.09471845626831,-1
2,normal,1,1,1,93.09471845626831,-1
2,normal,1,1,1,92.77831315994263,-1
2,normal,1,1,1,90.20046591758728,-1
2,normal,1,1,1,89.84816074371338,-1
3,normal,2,1,2,98.141348361969,-1
3,normal,2,1,2,96.80354595184326,-1
3,normal,2,1,2,97.6527214050293,-1
3,normal,2,1,2,97.26143479347229,-1
3,normal,2,1,2,97.28691577911377,-1
3,normal,2,1,2,97.8217601776123,-1
3,normal,2,1,2,97.30692505836487,2
3,normal,2,1,2,97.47535586357117,-1
3,normal,2,1,2,97.46809601783752,-1
3,normal,2,1,2,96.39161825180054,-1
3,normal,2,1,2,96.55364751815796,-1
3,normal,2,1,2,97.32049107551575,-1
3,normal,2,1,2,97.4073052406311,-1
3,normal,2,1,2,96.69665694236755,-1
3,normal,2,1,2,96.28077745437622,-1
3,normal,2,1,2,96.7366635799408,-1
3,normal,2,1,2,96.79769277572632,-1
3,normal,2,1,2,96.53317928314209,-1
3,normal,2,1,2,96.87419533729553,-1
3,normal,2,1,2,96.66556715965271,-1
3,normal,2,1,2,97.16811776161194,-1
3,normal,2,1,2,96.42753005027771,-1
3,normal,2,1,2,96.95138335227966,-1
3,normal,2,1,2,95.91974020004272,-1
3,normal,2,1,2,96.24935984611511,-1
3,normal,2,1,2,96.26051187515259,-1
3,normal,2,1,2,96.29157185554504,-1
3,normal,2,1,2,97.35370874404907,-1
3,normal,2,1,2,97.58962392807007,-1
3,normal,2,1,2,98.0792224407196,-1
3,normal,2,1,2,97.32922315597534,-1
3,normal,2,1,2,96.5829849243164,-1
3,normal,2,1,2,97.61106371879578,-1
3,normal,2,1,2,97.4609911441803,-1
3,normal,2,1,2,97.63815999031067,-1
3,normal,2,1,2,96.43339514732361,-1
3,normal,2,1,2,98.11968207359314,-1
3,normal,2,1,2,98.06532859802246,-1
3,normal,2,1,2,98.08903932571411,-1
3,normal,2,1,2,98.26754331588745,-1
3,normal,2,1,2,98.20370674133301,-1
3,normal,2,1,2,97.63879776000977,-1
3,normal,2,1,2,98.05861115455627,-1
3,normal,2,1,2,97.97077178955078,-1
3,normal,2,1,2,97.88938164710999,-1
3,normal,2,1,2,96.96539044380188,-1
3,normal,2,1,2,97.57399559020996,-1
3,normal,2,1,2,95.98918557167053,-1
3,normal,2,1,2,97.49484062194824,-1
3,normal,2,1,2,95.72190046310425,-1
3,normal,2,1,2,97.6228654384613,-1
3,normal,2,1,2,97.60642051696777,-1
3,normal,2,1,2,97.46564626693726,-1
3,normal,2,1,2,97.34299182891846,-1
3,normal,2,1,2,97.34299182891846,-1
3,normal,2,1,2,96.5339720249176,-1
3,normal,2,1,2,97.96765446662903,-1
3,normal,2,1,2,96.61532044410706,-1
3,normal,2,1,2,97.2080409526825,-1
3,normal,2,1,2,96.84571027755737,-1
3,normal,2,1,2,96.918386220932,-1
3,normal,2,1,2,96.63223028182983,-1
3,normal,2,1,2,96.86942100524902,-1
3,normal,2,1,2,95.79625725746155,-1
3,normal,2,1,2,96.54409289360046,-1
3,normal,2,1,2,96.93943858146667,-1
3,normal,2,1,2,96.94320559501648,-1
3,normal,2,1,2,96.73833847045898,-1
3,normal,2,1,2,96.83079719543457,-1
3,normal,2,1,2,96.73301577568054,-1
3,normal,2,1,2,96.75689339637756,-1
3,normal,2,1,2,96.29295468330383,-1
3,normal,2,1,2,96.70568704605103,-1
3,normal,2,1,2,96.60708904266357,-1
3,normal,2,1,2,97.19050526618958,-1
3,normal,2,1,2,97.02629446983337,-1
3,normal,2,1,2,97.02629446983337,-1
3,normal,2,1,2,96.87022566795349,-1
3,normal,2,1,2,97.35661149024963,-1
3,normal,2,1,2,97.13536500930786,-1
3,normal,2,1,2,97.13536500930786,-1
3,normal,2,1,2,97.26153612136841,-1
3,normal,2,1,2,97.1564769744873,-1
3,normal,2,1,2,96.52271866798401,-1
3,normal,2,1,2,96.70119285583496,-1
3,normal,2,1,2,96.70497179031372,-1
3,normal,2,1,2,97.36941456794739,-1
3,normal,2,1,2,96.70703411102295,-1
3,normal,2,1,2,97.29428291320801,-1
3,normal,2,1,2,97.38047122955322,-1
3,normal,2,1,2,97.18673825263977,-1
3,normal,2,1,2,96.66615724563599,-1
3,normal,2,1,2,96.55903577804565,-1
3,normal,2,1,2,97.21840620040894,-1
3,normal,2,1,2,97.06705808639526,-1
3,normal,2,1,2,96.85654640197754,-1
3,normal,2,1,2,96.91036939620972,-1
3,normal,2,1,2,96.70812487602234,-1
3,normal,2,1,2,97.1310019493103,-1
3,normal,2,1,2,96.48460745811462,-1
3,normal,2,1,2,96.38557434082031,-1
3,normal,2,1,2,96.84615731239319,-1
3,normal,2,1,2,96.81416749954224,-1
4,normal,3,1,3,98.1410264968872,-1
4,normal,3,1,3,99.12270903587341,-1
4,normal,3,1,3,98.63407611846924,-1
4,normal,3,1,3,97.78527021408081,-1
4,normal,3,1,3,99.28273558616638,-1
4,normal,3,1,3,98.28585386276245,-1
4,normal,3,1,3,98.85462522506714,3
4,normal,3,1,3,98.01180362701416,-1
4,normal,3,1,3,98.70139360427856,-1
4,normal,3,1,3,98.11059832572937,-1
4,normal,3,1,3,98.1106162071228,-1
4,normal,3,1,3,98.47885370254517,-1
4,normal,3,1,3,98.69698286056519,-1
4,normal,3,1,3,97.76100516319275,-1
4,normal,3,1,3,98.34330081939697,-1
4,normal,3,1,3,98.55384826660156,-1
4,normal,3,1,3,98.16679358482361,-1
4,normal,3,1,3,97.90709018707275,-1
4,normal,3,1,3,97.81801700592041,-1
4,normal,3,1,3,97.78593182563782,-1
4,normal,3,1,3,99.25206899642944,-1
4,normal,3,1,3,98.00636768341064,-1
4,normal,3,1,3,98.84800910949707,-1
4,normal,3,1,3,99.07864928245544,-1
4,normal,3,1,3,98.32841157913208,-1
4,normal,3,1,3,98.39747548103333,-1
4,normal,3,1,3,99.08535480499268,-1
4,normal,3,1,3,99.09645318984985,-1
4,normal,3,1,3,99.1709291934967,-1
4,normal,3,1,3,99.40038323402405,-1
4,normal,3,1,3,99.42228198051453,-1
4,normal,3,1,3,99.34437274932861,-1
4,normal,3,1,3,98.7561583518982,-1
4,normal,3,1,3,99.36134219169617,-1
4,normal,3,1,3,98.99827837944031,-1
4,normal,3,1,3,99.2108404636383,-1
4,normal,3,1,3,99.12294149398804,-1
4,normal,3,1,3,98.94639253616333,-1
4,normal,3,1,3,99.20799136161804,-1
4,normal,3,1,3,99.18212890625,-1
4,normal,3,1,3,99.12998080253601,-1
4,normal,3,1,3,99.11783337593079,-1
4,normal,3,1,3,99.12998080253601,-1
4,normal,3,1,3,99.27236437797546,-1
4,normal,3,1,3,99.12998080253601,-1
4,normal,3,1,3,99.11783337593079,-1
4,normal,3,1,3,99.13195967674255,-1
4,normal,3,1,3,99.27051663398743,-1
4,normal,3,1,3,99.03401732444763,-1
4,normal,3,1,3,99.18730854988098,-1
4,normal,3,1,3,99.16268587112427,-1
4,normal,3,1,3,99.30358529090881,-1
4,normal,3,1,3,99.12598729133606,-1
4,normal,3,1,3,99.09396171569824,-1
